data,regiao,canal,produto,invest_marketing,ligacoes_vendas,visitas_site,emails_enviados,preco,preco_concorrente,desconto_pct,satisfacao,tickets_suporte,cliente_recorrente,sazonalidade_mes,unidades_vendidas,receita,transacoes,ticket_medio,lead_vai_comprar
2023-01-01,Sul,Representante,A,942.0,11,1526,705,93.08,99.09,0.081,5.0,0,0,1,110,9411.96,68,138.41,1
2023-01-01,Nordeste,Representante,B,704.0,9,822,713,121.58,127.82,0.072,5.0,1,1,1,90,10157.31,105,96.74,1
2023-01-01,Centro-Oeste,Loja Física,B,4140.0,12,2633,875,103.3,100.27,0.028,3.41,2,0,1,171,17162.47,238,72.11,1
2023-01-02,Centro-Oeste,Loja Física,B,3079.0,7,1647,1381,115.55,118.59,0.089,3.42,0,0,1,132,13894.26,144,96.49,1
2023-01-02,Centro-Oeste,Online,A,1759.0,4,2724,1499,116.14,121.23,0.085,3.79,0,0,1,192,20413.12,178,114.68,1
2023-01-02,Sudeste,Online,A,2385.0,8,941,1353,80.86,88.11,0.1,3.4,0,0,1,97,7062.17,95,74.34,1
2023-01-04,Sul,Loja Física,A,3889.0,11,2234,1201,104.76,95.72,0.024,3.76,2,0,1,148,15132.1,110,137.56,1
2023-01-04,Centro-Oeste,Online,B,2045.0,12,2004,849,122.01,113.07,0.022,3.49,2,1,1,153,18250.36,170,107.36,1
2023-01-05,Sudeste,Representante,C,1833.0,8,1117,1645,111.63,100.18,0.161,4.65,0,1,1,116,10858.89,86,126.27,1
2023-01-05,Sul,Representante,A,2895.0,6,1788,1071,113.8,124.67,0.094,3.71,0,0,1,129,13296.36,147,90.45,1
2023-01-05,Nordeste,Representante,B,3643.0,7,2180,929,140.25,154.52,0.009,3.77,0,1,1,155,21548.62,130,165.76,1
2023-01-05,Sudeste,Online,C,2030.0,8,1236,823,146.08,146.52,0.028,4.65,0,1,1,112,15896.18,94,169.11,0
2023-01-06,Nordeste,Representante,B,2119.0,6,1804,890,111.8,127.94,0.072,4.46,0,0,1,127,13172.24,172,76.58,1
2023-01-07,Sudeste,Representante,C,1605.0,8,1614,1116,119.1,121.26,0.108,4.35,1,1,1,135,14339.64,134,107.01,1
2023-01-08,Centro-Oeste,Loja Física,C,4476.0,2,2527,1712,122.5,124.95,0.073,3.65,0,1,1,176,19978.66,142,140.69,1
2023-01-09,Centro-Oeste,Online,B,3323.0,10,2345,1102,110.53,102.17,0.044,3.85,2,1,1,189,19968.47,234,85.34,1
2023-01-09,Sul,Loja Física,A,3363.0,8,2062,925,90.56,92.74,0.053,3.96,0,0,1,133,11405.64,170,67.09,1
2023-01-09,Sudeste,Online,C,1096.0,11,2132,1278,126.45,117.37,0.065,2.89,0,1,1,159,18805.93,118,159.37,1
2023-01-10,Sul,Representante,C,3173.0,8,2222,1532,104.05,105.27,0.083,3.16,2,0,1,144,13738.36,132,104.08,1
2023-01-10,Sudeste,Online,A,2037.0,6,2100,802,105.82,107.77,0.047,4.62,2,0,1,151,15232.41,175,87.04,1
2023-01-12,Nordeste,Loja Física,A,804.0,7,625,888,134.04,145.02,0.026,3.35,1,0,1,59,7699.87,48,160.41,0
2023-01-12,Nordeste,Online,A,5155.0,6,2665,1585,164.27,175.68,0.075,4.09,1,1,1,196,29768.23,171,174.08,1
2023-01-13,Nordeste,Loja Física,C,3226.0,10,1982,921,81.67,88.17,0.071,4.08,1,0,1,114,8645.31,88,98.24,1
2023-01-13,Centro-Oeste,Loja Física,C,1956.0,9,1510,983,132.81,160.07,0.042,3.95,0,0,1,105,13357.77,73,182.98,1
2023-01-13,Nordeste,Online,A,3245.0,8,2195,853,82.3,96.54,0.095,3.81,0,0,1,142,10579.92,186,56.88,1
2023-01-14,Sudeste,Online,C,3676.0,2,2047,1296,124.97,120.6,0.041,3.0,1,1,1,152,18210.93,202,90.15,1
2023-01-14,Sul,Loja Física,A,835.0,12,1142,498,121.5,123.04,0.034,3.55,2,0,1,78,9158.79,73,125.46,1
2023-01-15,Sudeste,Online,C,1688.0,9,1807,915,114.92,118.65,0.02,3.5,1,1,1,142,15995.85,177,90.37,1
2023-01-15,Sul,Online,C,2072.0,6,2262,1260,110.98,110.3,0.071,3.89,1,1,1,157,16184.75,214,75.63,1
2023-01-16,Nordeste,Online,B,1813.0,4,1448,1032,113.85,105.11,0.105,4.6,0,1,1,122,12425.94,116,107.12,1
2023-01-17,Nordeste,Representante,B,3062.0,9,2017,1757,155.72,145.02,0.053,3.9,0,0,1,158,23301.73,154,151.31,1
2023-01-18,Sul,Representante,C,949.0,12,1299,829,101.92,95.45,0.177,3.82,1,1,1,95,7965.24,96,82.97,1
2023-01-19,Sudeste,Loja Física,C,186.0,4,594,422,119.61,115.44,0.035,3.46,0,1,1,55,6348.67,57,111.38,1
2023-01-19,Sudeste,Online,C,2100.0,10,1625,722,129.76,132.61,0.075,3.72,0,1,1,119,14278.39,91,156.91,1
2023-01-20,Nordeste,Loja Física,B,1951.0,11,1941,1415,131.66,148.37,0.197,3.72,0,1,1,155,16389.21,206,79.56,1
2023-01-20,Sul,Representante,A,2297.0,3,2541,946,155.99,162.46,0.043,3.66,0,0,1,161,24031.08,114,210.8,1
2023-01-21,Sudeste,Loja Física,A,918.0,6,794,663,169.19,161.56,0.041,4.4,1,0,1,70,11356.61,75,151.42,1
2023-01-21,Nordeste,Representante,C,2338.0,4,1626,918,143.65,131.27,0.068,3.09,0,0,1,94,12585.83,99,127.13,1
2023-01-22,Sudeste,Online,A,820.0,5,894,802,105.28,105.02,0.051,3.9,0,1,1,98,9790.65,71,137.9,1
2023-01-22,Sudeste,Loja Física,A,5268.0,4,3368,1647,138.14,136.38,0.076,3.62,2,0,1,226,28838.94,182,158.46,1
2023-01-23,Centro-Oeste,Representante,C,255.0,10,2497,686,95.65,102.54,0.065,3.57,1,0,1,143,12795.17,173,73.96,1
2023-01-25,Sudeste,Representante,A,923.0,8,1122,281,89.22,81.41,0.076,4.49,0,0,1,79,6515.24,56,116.34,1
2023-01-26,Sul,Online,B,2285.0,11,2191,780,108.77,107.53,0.019,2.92,1,0,1,146,15584.86,169,92.22,1
2023-01-27,Centro-Oeste,Representante,A,1774.0,8,1154,1106,118.9,132.41,0.13,3.55,2,0,1,99,10244.4,90,113.83,1
2023-01-28,Sudeste,Online,C,4139.0,12,2410,1353,110.35,118.56,0.016,3.87,1,0,1,175,19006.42,122,155.79,1
2023-01-28,Centro-Oeste,Representante,B,1127.0,4,1720,519,143.96,137.02,0.022,3.95,1,0,1,114,16044.14,118,135.97,0
2023-01-28,Centro-Oeste,Online,B,3185.0,9,2231,1640,101.54,97.55,0.07,2.83,0,0,1,173,16329.97,201,81.24,1
2023-01-29,Sudeste,Representante,C,1329.0,5,2174,627,136.36,137.58,0.073,2.79,3,0,1,131,16557.5,145,114.19,0
2023-01-29,Nordeste,Representante,A,350.0,8,1674,382,132.55,136.78,0.078,4.23,0,0,1,99,12097.57,68,177.91,1
2023-02-02,Sudeste,Online,B,1002.0,6,945,476,113.58,112.2,0.089,3.22,4,1,2,86,8901.95,58,153.48,1
2023-02-02,Sul,Online,C,3047.0,7,1774,1580,115.91,115.35,0.064,4.06,2,0,2,137,14858.92,134,110.89,1
2023-02-02,Centro-Oeste,Representante,B,1947.0,3,1363,1661,119.36,117.32,0.061,4.45,0,1,2,145,16258.85,182,89.33,1
2023-02-04,Sul,Loja Física,C,1553.0,10,1333,772,93.21,95.72,0.091,4.27,3,1,2,102,8643.15,63,137.19,1
2023-02-04,Sul,Loja Física,A,865.0,7,711,933,115.16,110.76,0.056,3.75,0,0,2,64,6958.13,81,85.9,1
2023-02-04,Sul,Representante,A,815.0,8,1083,597,142.69,150.56,0.067,4.03,3,0,2,81,10778.71,109,98.89,0
2023-02-04,Sudeste,Loja Física,B,1601.0,6,1788,840,127.65,138.02,0.059,3.84,0,1,2,143,17182.82,184,93.38,1
2023-02-04,Sul,Online,A,2892.0,5,1269,1016,123.9,119.55,0.021,3.56,0,1,2,111,13467.58,114,118.14,1
2023-02-05,Sul,Representante,C,2054.0,7,3749,1206,103.81,113.57,0.151,3.6,1,0,2,212,18691.96,288,64.9,1
2023-02-05,Nordeste,Online,A,2671.0,7,1864,1119,136.62,158.62,0.188,5.0,3,1,2,147,16308.26,186,87.68,1
2023-02-05,Nordeste,Loja Física,A,2360.0,5,1677,1104,105.0,115.74,0.077,4.25,0,0,2,117,11340.43,119,95.3,1
2023-02-06,Nordeste,Representante,C,1643.0,8,1225,742,90.08,86.12,0.073,4.45,0,0,2,85,7097.29,100,70.97,1
2023-02-06,Sul,Online,B,411.0,8,1847,911,114.72,122.59,0.099,3.1,3,1,2,140,14464.95,106,136.46,1
2023-02-06,Sudeste,Loja Física,B,3980.0,4,2953,1834,161.29,164.75,0.072,2.25,1,0,2,214,32020.49,216,148.24,1
2023-02-07,Centro-Oeste,Representante,C,793.0,7,1464,1050,145.96,137.5,0.023,4.09,1,0,2,104,14824.29,103,143.93,1
2023-02-08,Sudeste,Online,B,2887.0,8,2975,800,113.21,139.37,0.104,3.28,1,1,2,227,23020.5,250,92.08,1
2023-02-08,Sul,Online,A,1019.0,5,1294,1253,123.39,120.95,0.051,5.0,0,1,2,127,14867.19,134,110.95,0
2023-02-08,Nordeste,Representante,A,1262.0,12,1351,776,90.9,82.78,0.036,3.67,1,1,2,99,8679.21,112,77.49,1
2023-02-08,Centro-Oeste,Online,A,2576.0,6,2559,1638,155.12,183.55,0.039,3.74,0,1,2,201,29971.94,232,129.19,1
2023-02-08,Sudeste,Representante,C,4208.0,9,3051,1149,113.72,104.48,0.016,4.5,1,1,2,210,23510.22,156,150.71,1
2023-02-10,Sudeste,Representante,B,5872.0,6,4255,1598,118.69,110.23,0.044,4.24,3,0,2,300,34033.55,366,92.99,1
2023-02-10,Sul,Loja Física,A,1610.0,5,1718,641,112.53,110.36,0.067,3.16,0,1,2,117,12283.08,101,121.61,1
2023-02-10,Nordeste,Representante,C,2368.0,5,1836,1079,132.53,126.21,0.032,3.86,0,0,2,110,14104.6,140,100.75,0
2023-02-11,Sul,Online,A,2668.0,7,2511,890,128.58,125.33,0.026,4.52,0,0,2,169,21157.29,190,111.35,1
2023-02-11,Sudeste,Loja Física,C,3940.0,8,2367,1773,93.88,84.12,0.002,4.66,0,0,2,175,16390.94,164,99.94,1
2023-02-12,Sudeste,Representante,C,2104.0,7,2038,972,125.16,120.66,0.029,4.31,1,0,2,138,16770.99,173,96.94,1
2023-02-13,Sudeste,Loja Física,B,2404.0,5,2742,1448,101.12,109.79,0.008,4.03,0,0,2,203,20369.06,213,95.63,1
2023-02-13,Nordeste,Loja Física,B,4051.0,13,2797,1302,98.55,92.13,0.084,3.79,0,1,2,195,17610.5,171,102.99,1
2023-02-13,Nordeste,Online,C,3077.0,9,1705,1084,136.29,139.06,0.192,3.51,1,0,2,109,11999.02,88,136.35,1
2023-02-13,Centro-Oeste,Representante,C,5262.0,6,3227,2531,129.73,129.33,0.128,4.06,0,0,2,229,25898.22,316,81.96,1
2023-02-14,Sudeste,Online,B,2352.0,6,1840,1108,119.51,107.28,0.033,3.98,0,1,2,161,18606.84,166,112.09,1
2023-02-15,Centro-Oeste,Loja Física,A,1696.0,6,2519,1333,124.23,130.46,0.036,4.82,0,0,2,175,20965.37,222,94.44,1
2023-02-15,Centro-Oeste,Online,A,2532.0,7,1681,947,130.76,123.68,0.069,3.96,0,0,2,121,14723.58,165,89.23,0
2023-02-16,Nordeste,Online,B,1020.0,4,1952,778,120.49,128.91,0.01,3.68,1,1,2,139,16586.04,166,99.92,0
2023-02-16,Sudeste,Representante,A,1769.0,6,2572,1020,115.87,126.16,0.045,3.13,0,0,2,175,19371.84,105,184.49,1
2023-02-16,Centro-Oeste,Online,B,2795.0,4,2510,1460,147.86,161.27,0.085,3.77,0,1,2,204,27588.06,177,155.86,1
2023-02-17,Sudeste,Representante,A,758.0,10,809,503,91.3,98.05,0.082,4.25,0,1,2,89,7461.57,62,120.35,1
2023-02-17,Nordeste,Loja Física,A,3110.0,11,1915,853,108.07,115.74,0.07,3.25,1,1,2,132,13270.95,130,102.08,1
2023-02-18,Nordeste,Loja Física,A,4442.0,10,2421,1886,111.09,103.69,0.083,3.27,0,1,2,175,17825.43,177,100.71,1
2023-02-18,Sudeste,Loja Física,C,2976.0,5,2212,1021,101.77,89.17,0.037,3.14,0,1,2,143,14017.57,128,109.51,1
